"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1871770107762135365","Wed Dec 25 15:39:58 +0000 2024","3","@AltercrossX @proletarsusah @koganenohikari true apalagi jakarta sudah mengalami penurunan signifikan di 30 tahun terakhir salah satu solusinya mungkin membuat sea barrier untuk memperlambat penurunan ketinggian tanah lebih lanjut. atau membuat flood canal yang tersentralisasi tidak di bawah tanah","1871943980382036302","","AltercrossX","in","","0","0","0","https://x.com/undefined/status/1871943980382036302","2998208358",
"1871086655106679042","Mon Dec 23 06:53:16 +0000 2024","1","Dalam memastikan aksi konvergensi stunting berjalan dengan baik Pemerintah Kota Adm. Jakarta Pusat melakukan reviu kinerja pelaksanaan aksi 8 penurunan stunting Tahun 2024 di Ruang Pola Kantor Wali Kota Jakarta Pusat Jalan Tanah Abang I Kecamatan Gambir. Senin (23/12). https://t.co/QYXhWEEWiC","1871086655106679042","https://pbs.twimg.com/media/GfdvYALbMAAPQgB.jpg","","in","","0","1","0","https://x.com/undefined/status/1871086655106679042","3079723462",
"1870992579627794440","Mon Dec 23 00:39:31 +0000 2024","1","4/8 ️ Penurunan Tanah Kegiatan pengambilan air tanah secara berlebihan menyebabkan penurunan tanah di Jakarta. Ini menjadikan kawasan tertentu lebih rendah daripada paras laut meningkatkan risiko banjir.","1870992596610462102","","FakrulR38994657","in","","0","1","0","https://x.com/undefined/status/1870992596610462102","1232818004208934912",
"1870668640640700568","Sun Dec 22 03:12:13 +0000 2024","2","Permukaan tanah di Jakarta terus turun sejak 1975. Dalam 10 tahun angka penurunan berkisar 70-100 sentimeter. Wilayah yang berada di bawah permukaan laut bakal lebih terancam banjir rob saat air laut pasang. Bagaimana kondisi saat ini - DATATEMPO https://t.co/MuJSzaqAeg","1870668640640700568","","","in","","0","1","0","https://x.com/undefined/status/1870668640640700568","1126684769536733184",
"1869707588985864222","Sat Dec 21 23:44:02 +0000 2024","1","@proletarsusah @UseKidd @RomeoWalker19 Infiltrasi kurang ditambah penggunaan air tanah berlebih makanya intrusi air laut itu sudah sampai pusat Jakarta loh mknya kenapa pak anies itu pake konsep sumur resapan dan lubang2 biopori salah satunya ya mencegah penurunan tanah.","1870616247865651436","","proletarsusah","in","","0","0","0","https://x.com/undefined/status/1870616247865651436","1500448874175295494",
"1870537852653916414","Sat Dec 21 18:32:31 +0000 2024","2","sekolah gak sih nying? hufht tahan... jadi gini secara teknis bisa! karena jkt udah ngalamin penurunan tanah yang cukup signifikan. salah satu solusi kecil yang bisa dilakuin adlh recharge akuifer. nah itu tuh salah satu cara buat bantu ngurangin penurunan tanah di jakarta.","1870537852653916414","","","in","","0","1","0","https://x.com/undefined/status/1870537852653916414","1266921255761965060",
"1870025289667096682","Sat Dec 21 08:07:05 +0000 2024","0","@musuhphp Minim resapan Air Buang sampah sembarangan ditambah penurunan tanah di Jakarta paket lengkap sih buat tenggelem","1870380456488890494","","musuhphp","in","","0","0","0","https://x.com/undefined/status/1870380456488890494","1335903268841484288",
"1870373055782170829","Sat Dec 21 07:37:41 +0000 2024","0","padahal bener. bahkan di jakarta udah dimulai program gaboleh sama sekali make air tanah jadi harus beralih ke air permukaan karena penurunan air tanah di jkt terlalu signifikan tiap tahunnya &lt; ini pengakuan dinas lingkungan hidup. sometimes you get too comfortable being stupid","1870373055782170829","","","in","","0","0","0","https://x.com/undefined/status/1870373055782170829","1432322808718102530",
"1870364028553371904","Sat Dec 21 07:01:48 +0000 2024","6","#Foto Sepekan terakhir banjir rob terendam Jakarta Utara! Ini jadi bukti nyata penurunan tanah &amp; dampak perubahan iklim. &gt;&gt; https://t.co/ngeyD71sjn Foto: Ari Saputra/detikcom #detikcom https://t.co/7iFI3jVNYC","1870364028553371904","https://pbs.twimg.com/media/GfTeKq-WsAAghAN.jpg","","in","","0","1","1","https://x.com/undefined/status/1870364028553371904","69183155",
"1870285486398603300","Sat Dec 21 01:49:42 +0000 2024","42","Ya emang penurunan tanah di jakarta kan gara-gara penggunaan air tanah. Harusnya solusi buat itu ya cari sumber air alternatif buat warga atau bikin sistem penyimpanan air yang bagus bukan bangun ikn","1870285486398603300","","","in","","0","0","4","https://x.com/undefined/status/1870285486398603300","1140233707409698818",
